acao,cnpj,setor,subsetor,segmento
radl3,61.585.865/0001-51,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
rail3,02.387.241/0001-60,Bens Industriais,Transporte,Transporte Ferroviário
raiz4,33.453.598/0001-23,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
rani3,92.791.243/0001-03,Materiais Básicos,Embalagens,Embalagens
rani4,92.791.243/0001-03,Materiais Básicos,Embalagens,Embalagens
rapt3,89.086.144/0001-16,Bens Industriais,Material de Transporte,Material Rodoviário
rapt4,89.086.144/0001-16,Bens Industriais,Material de Transporte,Material Rodoviário
rcsl3,91.333.666/0001-17,Bens Industriais,Material de Transporte,Material Rodoviário
rcsl4,91.333.666/0001-17,Bens Industriais,Material de Transporte,Material Rodoviário
rdni3,67.010.660/0001-24,Consumo Cíclico,Construção Civil,Incorporações
rdor3,06.047.087/0001-39,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
recv3,03.342.704/0001-30,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
rede3,61.584.140/0001-49,Utilidade Pública,Energia Elétrica,Energia Elétrica
rent3,16.670.085/0001-55,Consumo Cíclico,Diversos,Aluguel de carros
rlog3,17.346.997/0001-39,Bens Industriais,Transporte,Transporte Ferroviário
rnew11,08.534.605/0001-74,Utilidade Pública,Energia Elétrica,Energia Elétrica
rnew3,08.534.605/0001-74,Utilidade Pública,Energia Elétrica,Energia Elétrica
rnew4,08.534.605/0001-74,Utilidade Pública,Energia Elétrica,Energia Elétrica
romi3,56.720.428/0001-63,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
rpad3,17.167.396/0001-69,Financeiro e Outros,Intermediários Financeiros,Bancos
rpad5,17.167.396/0001-69,Financeiro e Outros,Intermediários Financeiros,Bancos
rpad6,17.167.396/0001-69,Financeiro e Outros,Intermediários Financeiros,Bancos
rpmg3,33.412.081/0001-96,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
rrrp3,12.091.809/0001-55,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
rsid3,61.065.751/0001-80,Consumo Cíclico,Construção Civil,Incorporações
rsul3,85.778.074/0001-06,Bens Industriais,Material de Transporte,Material Rodoviário
rsul4,85.778.074/0001-06,Bens Industriais,Material de Transporte,Material Rodoviário
sanb11,90.400.888/0001-42,Financeiro e Outros,Intermediários Financeiros,Bancos
sanb3,90.400.888/0001-42,Financeiro e Outros,Intermediários Financeiros,Bancos
sanb4,90.400.888/0001-42,Financeiro e Outros,Intermediários Financeiros,Bancos
sapr11,76.484.013/0001-45,Utilidade Pública,Água e Saneamento,Água e Saneamento
sapr3,76.484.013/0001-45,Utilidade Pública,Água e Saneamento,Água e Saneamento
sapr4,76.484.013/0001-45,Utilidade Pública,Água e Saneamento,Água e Saneamento
sbfg3,13.217.485/0001-11,Consumo Cíclico,Comércio,Produtos Diversos
sbsp3,43.776.517/0001-80,Utilidade Pública,Água e Saneamento,Água e Saneamento
scar3,29.780.061/0001-09,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
sedu3,02.541.982/0001-54,Consumo Cíclico,Diversos,Serviços Educacionais
seer3,04.986.320/0001-13,Consumo Cíclico,Diversos,Serviços Educacionais
seql3,01.599.101/0001-93,Bens Industriais,Transporte,Logística
sgps3,07.718.269/0001-57,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
show3,02.860.694/0001-62,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
shul3,84.693.183/0001-68,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros
shul4,84.693.183/0001-68,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros
simh3,07.415.333/0001-20,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
slce3,89.096.457/0001-55,Consumo não Cíclico,Agropecuária,Agricultura
sled3,60.500.139/0001-26,Consumo Cíclico,Comércio,Produtos Diversos
sled4,60.500.139/0001-26,Consumo Cíclico,Comércio,Produtos Diversos
smft3,07.594.978/0001-78,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas
smls3,05.730.375/0001-20,Consumo Cíclico,Diversos,Programas de Fidelização
smto3,51.466.860/0001-56,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
snsy3,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos
snsy5,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos
snsy6,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos
soja3,10.807.374/0001-77,Consumo não Cíclico,Agropecuária,Agricultura
soma3,10.285.590/0001-08,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
sond3,33.386.210/0001-19,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
sond5,33.386.210/0001-19,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
sond6,33.386.210/0001-19,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
sprt3b,02.338.534/0001-58,Financeiro e Outros,Outros,Outros
sqia3,04.065.791/0001-99,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
stbp3,02.762.121/0001-04,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
stkf3,00.622.416/0001-41,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas
sttr3,91.495.499/0001-00,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
sula11,29.978.814/0001-87,Financeiro e Outros,Previdência e Seguros,Seguradoras
sula3,29.978.814/0001-87,Financeiro e Outros,Previdência e Seguros,Seguradoras
sula4,29.978.814/0001-87,Financeiro e Outros,Previdência e Seguros,Seguradoras
suzb3,16.404.287/0001-55,Materiais Básicos,Madeira e Papel,Papel e Celulose
syne3,08.801.621/0001-86,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
taee11,07.859.971/0001-30,Utilidade Pública,Energia Elétrica,Energia Elétrica
taee3,07.859.971/0001-30,Utilidade Pública,Energia Elétrica,Energia Elétrica
taee4,07.859.971/0001-30,Utilidade Pública,Energia Elétrica,Energia Elétrica
tasa3,92.781.335/0001-02,Bens Industriais,Máquinas e Equipamentos,Armas e Munições
tasa4,92.781.335/0001-02,Bens Industriais,Máquinas e Equipamentos,Armas e Munições
tcno3,33.111.246/0001-90,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
tcno4,33.111.246/0001-90,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
tcsa3,08.065.557/0001-12,Consumo Cíclico,Construção Civil,Incorporações
tecn3,09.295.063/0001-97,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios
teka3,82.636.986/0001-55,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
teka4,82.636.986/0001-55,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
telb3,00.336.701/0001-04,Comunicações,Telecomunicações,Telecomunicações
telb4,00.336.701/0001-04,Comunicações,Telecomunicações,Telecomunicações
tend3,71.476.527/0001-35,Consumo Cíclico,Construção Civil,Incorporações
tesa3,05.799.312/0001-20,Consumo não Cíclico,Agropecuária,Agricultura
tfco4,59.418.806/0001-47,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
tgma3,02.351.144/0001-18,Bens Industriais,Transporte,Transporte Rodoviário
tiet11,04.128.563/0001-10,Utilidade Pública,Energia Elétrica,Energia Elétrica
tiet3,04.128.563/0001-10,Utilidade Pública,Energia Elétrica,Energia Elétrica
tiet4,04.128.563/0001-10,Utilidade Pública,Energia Elétrica,Energia Elétrica
tims3,02.421.421/0001-11,Comunicações,Telecomunicações,Telecomunicações
tkno3,33.467.572/0001-34,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
tkno4,33.467.572/0001-34,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
tots3,53.113.791/0001-22,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
toyb3,22.770.366/0001-82,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos
toyb4,22.770.366/0001-82,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos
tpis3,03.014.553/0001-91,Bens Industriais,Transporte,Exploração de Rodovias
trad3,26.345.998/0001-50,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
tris3,08.811.643/0001-27,Consumo Cíclico,Construção Civil,Incorporações
trpl3,02.998.611/0001-04,Utilidade Pública,Energia Elétrica,Energia Elétrica
trpl4,02.998.611/0001-04,Utilidade Pública,Energia Elétrica,Energia Elétrica
tten3,94.813.102/0001-70,Consumo não Cíclico,Agropecuária,Agricultura
tupy3,84.683.374/0001-49,Bens Industriais,Material de Transporte,Material Rodoviário
txrx3,82.982.075/0001-80,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
txrx4,82.982.075/0001-80,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
ucas3,90.441.460/0001-48,Consumo Cíclico,Utilidades Domésticas,Móveis
ugpa3,33.256.439/0001-39,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
unip3,33.958.695/0001-78,Materiais Básicos,Químicos,Químicos Diversos
unip5,33.958.695/0001-78,Materiais Básicos,Químicos,Químicos Diversos
unip6,33.958.695/0001-78,Materiais Básicos,Químicos,Químicos Diversos
usim3,60.894.730/0001-05,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
usim5,60.894.730/0001-05,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
usim6,60.894.730/0001-05,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
vale3,33.592.510/0001-54,Materiais Básicos,Mineração,Minerais Metálicos
vamo3,23.373.000/0001-32,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
vbbr3,34.274.233/0001-02,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
viia3,33.041.260/0652-90,Consumo Cíclico,Comércio,Eletrodomésticos
vitt3,45.365.558/0001-09,Materiais Básicos,Químicos,Fertilizantes e Defensivos
viva3,33.839.910/0001-11,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios
vivr3,67.571.414/0001-41,Consumo Cíclico,Construção Civil,Incorporações
vivt3,02.558.157/0001-62,Comunicações,Telecomunicações,Telecomunicações
vivt4,02.558.157/0001-62,Comunicações,Telecomunicações,Telecomunicações
vlid3,33.113.309/0001-47,Bens Industriais,Serviços,Serviços Diversos
vspt3,00.924.429/0001-75,Bens Industriais,Transporte,Transporte Ferroviário
vspt4,00.924.429/0001-75,Bens Industriais,Transporte,Transporte Ferroviário
vulc3,50.926.955/0001-42,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
vveo3,12.420.164/0001-57,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
wege3,84.429.695/0001-11,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros
west3,14.776.142/0001-50,Consumo Cíclico,Comércio,Produtos Diversos
whrl3,59.105.999/0001-86,Consumo Cíclico,Comércio,Eletrodomésticos
whrl4,59.105.999/0001-86,Consumo Cíclico,Comércio,Eletrodomésticos
wizs3,42.278.473/0001-03,Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros
wlmm3,33.228.024/0001-51,Bens Industriais,Comércio,Material de Transporte
wlmm4,33.228.024/0001-51,Bens Industriais,Comércio,Material de Transporte
yduq3,08.807.432/0001-10,Consumo Cíclico,Diversos,Serviços Educacionais
