acao,cnpj,setor,subsetor,segmento
enev3,04.423.567/0001-21,Utilidade Pública,Energia Elétrica,Energia Elétrica
engi11,00.864.214/0001-06,Utilidade Pública,Energia Elétrica,Energia Elétrica
engi3,00.864.214/0001-06,Utilidade Pública,Energia Elétrica,Energia Elétrica
engi4,00.864.214/0001-06,Utilidade Pública,Energia Elétrica,Energia Elétrica
enju3,16.922.038/0001-51,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
enma3b,06.272.793/0001-84,Utilidade Pública,Energia Elétrica,Energia Elétrica
enma6b,06.272.793/0001-84,Utilidade Pública,Energia Elétrica,Energia Elétrica
enmt3,03.467.321/0001-99,Utilidade Pública,Energia Elétrica,Energia Elétrica
enmt4,03.467.321/0001-99,Utilidade Pública,Energia Elétrica,Energia Elétrica
epar3,42.331.462/0001-31,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
eqpa3,04.895.728/0001-80,Utilidade Pública,Energia Elétrica,Energia Elétrica
eqpa5,04.895.728/0001-80,Utilidade Pública,Energia Elétrica,Energia Elétrica
eqpa6,04.895.728/0001-80,Utilidade Pública,Energia Elétrica,Energia Elétrica
eqpa7,04.895.728/0001-80,Utilidade Pública,Energia Elétrica,Energia Elétrica
eqtl3,03.220.438/0001-73,Utilidade Pública,Energia Elétrica,Energia Elétrica
espa3,26.659.061/0001-59,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal
estr3,61.082.004/0001-50,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos
estr4,61.082.004/0001-50,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos
eter3,61.092.037/0001-81,Bens Industriais,Construção e Engenharia,Produtos para Construção
euca3,56.643.018/0001-66,Materiais Básicos,Madeira e Papel,Madeira
euca4,56.643.018/0001-66,Materiais Básicos,Madeira e Papel,Madeira
even3,43.470.988/0001-65,Consumo Cíclico,Construção Civil,Incorporações
eztc3,08.312.229/0001-73,Consumo Cíclico,Construção Civil,Incorporações
fbmc3,61.410.395/0001-95,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
fbmc4,61.410.395/0001-95,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
fesa3,15.141.799/0001-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
fesa4,15.141.799/0001-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
fher3,22.266.175/0001-88,Materiais Básicos,Químicos,Fertilizantes e Defensivos
fige3,01.548.981/0001-79,Financeiro e Outros,Outros,Outros
fige4,01.548.981/0001-79,Financeiro e Outros,Outros,Outros
fiqe3,02.255.187/0001-08,Comunicações,Telecomunicações,Telecomunicações
flex3,10.851.805/0001-00,Bens Industriais,Serviços,Serviços Diversos
flry3,60.840.055/0001-31,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
fncn3,91.669.747/0001-92,Financeiro e Outros,Intermediários Financeiros,Soc. Crédito e Financiamento
fras3,88.610.126/0001-29,Bens Industriais,Material de Transporte,Material Rodoviário
frio3,04.821.041/0001-08,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
frta3,86.550.951/0001-50,Consumo não Cíclico,Agropecuária,Agricultura
ftrt3b,02.465.783/0001-04,Financeiro e Outros,Outros,Outros
g2di33,38.307.135/0001-77,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
gbio33,19.688.956/0001-56,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
gepa3,02.998.301/0001-81,Utilidade Pública,Energia Elétrica,Energia Elétrica
gepa4,02.998.301/0001-81,Utilidade Pública,Energia Elétrica,Energia Elétrica
gett11,10.440.482/0001-54,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
gett3,10.440.482/0001-54,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
gett4,10.440.482/0001-54,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
gfsa3,01.545.826/0001-07,Consumo Cíclico,Construção Civil,Incorporações
ggbr3,33.611.500/0001-19,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
ggbr4,33.611.500/0001-19,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
ggps3,09.229.201/0001-30,Bens Industriais,Transporte,Logística
gmat3,24.990.777/0001-09,Consumo não Cíclico,Comércio e Distribuição,Alimentos
gndi3,19.853.511/0001-84,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
goau3,92.690.783/0001-09,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
goau4,92.690.783/0001-09,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
goll4,06.164.253/0001-87,Bens Industriais,Transporte,Transporte Aéreo
gpar3,08.560.444/0001-93,Utilidade Pública,Energia Elétrica,Energia Elétrica
gpiv33,07.857.850/0001-50,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
grao3,18.483.666/0001-03,Consumo não Cíclico,Agropecuária,Agricultura
grnd3,89.850.341/0001-60,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
gshp3,08.764.621/0001-53,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
guar3,08.402.943/0001-52,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
haga3,30.540.991/0001-66,Bens Industriais,Construção e Engenharia,Produtos para Construção
haga4,30.540.991/0001-66,Bens Industriais,Construção e Engenharia,Produtos para Construção
hapv3,05.197.443/0001-38,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
hbor3,49.263.189/0001-02,Consumo Cíclico,Construção Civil,Incorporações
hbre3,14.785.152/0001-51,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
hbsa3,12.648.327/0001-53,Bens Industriais,Transporte,Transporte Hidroviário
hbts5,87.762.563/0001-03,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
