TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ENGI11;43,18;6,60;6,26;1,76;0,29;23,61;19,39;8,99;2,90;6,38;3,48;2,11;0,56;7,71;-0,40;1,17;28,09;4,69;13,33;0,17;0,81;0,52;17,81;74,52;105.483.202,66;24,56;6,90;0,14;15.671.254.702,64
ENGI3;13,71;4,16;9,93;2,79;0,47;23,61;19,39;8,99;4,61;6,38;3,48;2,11;0,89;12,25;-0,63;1,17;28,09;4,69;13,33;0,17;0,81;0,52;17,81;74,52;69.702,21;4,91;1,38;0,22;15.671.254.702,64
ENGI4;7,36;7,74;5,33;1,50;0,25;23,61;19,39;8,99;2,47;6,38;3,48;2,11;0,48;6,57;-0,34;1,17;28,09;4,69;13,33;0,17;0,81;0,52;17,81;74,52;118.579,55;4,91;1,38;0,12;15.671.254.702,64
ENJU3;1,67;;-2,80;0,83;0,73;27,09;-124,55;-105,10;-2,37;0,24;2,61;-0,91;2,95;0,95;-5,68;8,71;-29,44;-26,00;-34,89;0,88;0,12;0,25;;;4.374.301,34;2,02;-0,60;-0,03;331.265.755,76
ENMA3B;50,49;6,56;9,39;2,60;1,08;32,56;21,57;16,58;7,22;;1,12;0,40;1,56;12,19;-1,59;1,38;27,67;11,53;18,10;0,42;0,58;0,70;11,48;17,17;;19,43;5,38;0,55;
ENMA6B;83,99;3,94;15,62;4,32;1,80;32,56;21,57;16,58;12,00;;1,12;0,40;2,59;20,28;-2,65;1,38;27,67;11,53;18,10;0,42;0,58;0,70;11,48;17,17;;19,43;5,38;0,92;
ENMT3;83,76;4,76;15,47;6,08;1,60;28,14;23,02;15,45;10,38;12,74;2,33;1,37;2,39;26,02;-2,22;1,28;39,33;10,36;20,10;0,26;0,74;0,67;16,93;55,35;134.587,00;13,77;5,42;0,55;18.371.561.608,59
ENMT4;83,99;4,74;15,51;6,10;1,61;28,14;23,02;15,45;10,41;12,74;2,33;1,37;2,40;26,09;-2,23;1,28;39,33;10,36;20,10;0,26;0,74;0,67;16,93;55,35;120.464,25;13,77;5,42;0,55;18.371.561.608,59
EPAR3;13,55;14,90;2,84;2,03;0,77;17,82;7,75;7,57;2,78;2,97;0,19;0,14;0,22;2,47;-2,45;1,84;71,33;27,10;43,35;0,38;0,62;3,58;44,52;100,22;30.672,28;6,68;4,77;0,02;201.360.696,40
EQPA3;5,12;6,05;9,30;3,08;0,94;30,25;21,79;14,39;6,14;7,49;1,34;0,67;1,34;5,98;-1,51;1,71;33,08;10,08;19,70;0,30;0,70;0,70;12,16;28,18;73.671,79;1,66;0,55;0,14;11.334.329.343,52
EQPA5;6,70;4,63;12,17;4,03;1,23;30,25;21,79;14,39;8,03;7,49;1,34;0,67;1,75;7,82;-1,98;1,71;33,08;10,08;19,70;0,30;0,70;0,70;12,16;28,18;2.015,33;1,66;0,55;0,18;11.334.329.343,52
EQPA6;10,48;2,96;19,03;6,30;1,92;30,25;21,79;14,39;12,56;7,49;1,34;0,67;2,74;12,23;-3,09;1,71;33,08;10,08;19,70;0,30;0,70;0,70;12,16;28,18;;1,66;0,55;0,29;11.334.329.343,52
EQPA7;6,62;4,68;12,02;3,98;1,21;30,25;21,79;14,39;7,94;7,49;1,34;0,67;1,73;7,73;-1,95;1,71;33,08;10,08;19,70;0,30;0,70;0,70;12,16;28,18;662,00;1,66;0,55;0,18;11.334.329.343,52
EQTL3;24,15;2,65;6,95;1,70;0,39;29,55;20,94;15,11;5,02;9,29;4,27;1,44;1,05;3,46;-0,53;1,70;24,38;5,57;10,86;0,23;0,74;0,37;24,97;40,66;233.980.548,14;14,24;3,47;0,19;27.263.770.227,75
ESPA3;2,70;3,03;5,81;0,91;0,30;37,60;27,76;15,18;3,18;6,96;3,78;1,09;0,88;3,42;-0,49;1,30;15,70;5,18;11,27;0,33;0,67;0,34;;;14.316.989,31;2,96;0,46;0,67;659.436.028,20
ESTR3;17,80;;-0,43;-0,03;0,05;39,48;7,99;-21,42;1,14;8,62;5,97;;0,09;-0,03;-0,12;0,22;-6,59;-12,34;-1,81;-1,87;2,87;0,58;4,90;;;-634,97;-41,84;-0,01;33.357.910,00
ESTR4;53,00;;-1,27;-0,08;0,16;39,48;7,99;-21,42;3,40;8,62;5,97;;0,27;-0,08;-0,34;0,22;-6,59;-12,34;-1,81;-1,87;2,87;0,58;4,90;;14.450,00;-634,97;-41,84;-0,02;33.357.910,00
ETER3;11,35;5,60;2,77;1,16;0,66;41,05;29,41;22,76;2,14;1,53;-0,61;-0,33;0,63;1,25;-2,45;3,57;41,82;23,74;40,98;0,57;0,43;1,04;6,30;;12.880.989,52;9,80;4,10;0,30;701.164.126,25
EUCA3;15,00;1,72;2,71;0,71;0,40;35,44;22,15;20,39;2,49;2,57;0,75;0,21;0,55;3,08;-0,61;1,62;26,15;14,90;18,80;0,57;0,43;0,73;16,44;72,53;27.502,85;21,19;5,54;0,01;1.014.369.732,84
EUCA4;8,89;3,18;1,60;0,42;0,24;35,44;22,15;20,39;1,48;2,57;0,75;0,21;0,33;1,82;-0,36;1,62;26,15;14,90;18,80;0,57;0,43;0,73;16,44;72,53;415.225,24;21,19;5,54;0,01;1.014.369.732,84
EVEN3;4,82;5,53;6,28;0,56;0,17;27,14;9,35;7,92;5,32;2,71;-2,61;-0,27;0,50;0,49;-0,63;1,90;8,84;2,69;5,09;0,30;0,57;0,34;5,48;144,33;7.556.279,59;8,68;0,77;0,04;1.021.840.000,00
EZTC3;15,37;3,73;7,35;0,77;0,67;44,94;33,34;43,98;9,70;7,44;-2,26;-0,18;3,23;1,83;-1,19;6,17;10,53;9,11;7,11;0,87;0,12;0,21;10,85;14,94;33.259.685,90;19,85;2,09;0,48;3.396.602.513,11
FBMC3;0,00;;0,00;0,00;0,00;-60,76;-92,67;-101,97;0,00;-0,74;-0,67;;0,00;0,00;0,00;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FBMC4;1,96;;-0,09;-0,02;0,03;-60,76;-92,67;-101,97;-0,10;-0,74;-0,67;;0,09;-0,04;-0,05;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FESA3;61,99;4,72;6,55;2,08;1,53;47,02;38,14;32,04;5,50;4,74;-0,38;-0,14;2,10;4,83;-2,69;3,72;31,82;23,33;29,72;0,73;0,27;0,73;16,87;64,38;28.583,12;29,75;9,47;0,01;5.086.937.600,00
FESA4;55,40;5,81;5,85;1,86;1,37;47,02;38,14;32,04;4,92;4,74;-0,38;-0,14;1,87;4,31;-2,41;3,72;31,82;23,33;29,72;0,73;0,27;0,73;16,87;64,38;19.955.658,62;29,75;9,47;0,01;5.086.937.600,00
FHER3;16,05;;1,08;1,34;0,33;20,59;17,21;16,79;1,05;1,45;0,40;0,51;0,18;0,95;-1,05;2,00;124,03;30,38;74,68;0,24;0,76;1,81;-3,75;79,42;10.578.910,90;12,02;14,91;0,00;864.409.408,20
FIGE3;0,00;;0,00;0,00;0,00;100,00;91,45;61,74;0,00;0,00;;;0,00;0,00;0,00;;3,89;3,88;;1,00;0,00;0,06;;-9,83;;101,97;3,96;0,00;0,00
FIGE4;0,00;;0,00;0,00;0,00;100,00;91,45;61,74;0,00;0,00;;;0,00;0,00;0,00;;3,89;3,88;;1,00;0,00;0,06;;-9,83;;101,97;3,96;0,00;0,00
FIQE3;3,81;4,40;14,56;1,42;0,85;48,43;26,59;18,15;9,94;7,45;-2,49;-0,36;2,64;2,88;-1,62;2,65;9,74;5,85;8,19;0,60;0,40;0,32;;;2.599.147,66;2,69;0,26;0,20;1.379.409.010,29
