acao,cnpj,setor,subsetor,segmento,codigo,indice
mwet4,84.683.671/0001-94,Bens Industriais,Material de Transporte,Material Rodoviário,mwet,4
mypk3,61.156.113/0001-75,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,mypk,3
nafg4,61.067.161/0001-97,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,nafg,4
nemo3,60.651.809/0001-05,Materiais Básicos,Madeira e Papel,Papel e Celulose,nemo,3
neoe3,01.083.200/0001-18,Utilidade Pública,Energia Elétrica,Energia Elétrica,neoe,3
nexp3,08.613.550/0001-98,Financeiro e Outros,Exploração de Imóveis,Intermediação Imobiliária,nexp,3
ngrd3,10.139.870/0001-08,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,ngrd,3
ninj3,14.127.813/0001-51,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,ninj,3
nord3,60.884.319/0001-59,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,nord,3
nrtq3,29.950.060/0001-57,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,nrtq,3
ntco3,32.785.497/0001-97,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,ntco,3
nutr3,51.128.999/0001-90,Materiais Básicos,Químicos,Fertilizantes e Defensivos,nutr,3
oder4,97.191.902/0001-94,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,oder,4
odpv3,58.119.199/0001-51,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,odpv,3
ofsa3,20.258.278/0001-70,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,ofsa,3
ogxp3,07.957.093/0001-96,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,ogxp,3
oibr4,76.535.764/0001-43,Comunicações,Telecomunicações,Telecomunicações,oibr,4
omge3,09.149.503/0001-06,Utilidade Pública,Energia Elétrica,Energia Elétrica,omge,3
onco3,12.104.241/0004-02,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,onco,3
opct3,09.114.805/0001-30,Bens Industriais,Transporte,Transporte Hidroviário,opct,3
orvr3,11.421.994/0001-36,Utilidade Pública,Água e Saneamento,Água e Saneamento,orvr,3
osxb3,09.112.685/0001-32,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços,osxb,3
pard3,19.378.769/0001-76,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,pard,3
pati4,92.693.019/0001-89,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,pati,4
pcar4,47.508.411/0001-56,Consumo não Cíclico,Comércio e Distribuição,Alimentos,pcar,4
pdgr3,02.950.811/0001-89,Consumo Cíclico,Construção Civil,Incorporações,pdgr,3
pdtc3,02.365.069/0001-44,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos,pdtc,3
peab4,01.938.783/0001-11,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,peab,4
petr4,33.000.167/0001-01,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,petr,4
petz3,18.328.118/0001-09,Consumo Cíclico,Comércio,Produtos Diversos,petz,3
pfrm3,45.453.214/0001-51,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,pfrm,3
pgmn3,06.626.253/0001-51,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,pgmn,3
pine4,62.144.175/0001-20,Financeiro e Outros,Intermediários Financeiros,Bancos,pine,4
plas3,51.928.174/0001-50,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,plas,3
plpl3,24.230.275/0001-80,Consumo Cíclico,Construção Civil,Incorporações,plpl,3
pmam3,60.398.369/0004-79,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,pmam,3
pnvl4,92.665.611/0001-77,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,pnvl,4
pomo4,88.611.835/0001-29,Bens Industriais,Material de Transporte,Material Rodoviário,pomo,4
port3,33.130.691/0001-05,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,port,3
posi3,81.243.735/0001-48,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,posi,3
powe3,26.735.020/0001-02,Utilidade Pública,Energia Elétrica,Energia Elétrica,powe,3
ppar3,59.789.545/0001-71,Financeiro e Outros,Outros,Outros,ppar,3
ppla11,15.073.274/0001-88,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,ppla,11
prio3,10.629.105/0001-68,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,prio,3
prnr3,18.593.815/0001-97,Bens Industriais,Serviços,Serviços Diversos,prnr,3
pssa3,02.149.205/0001-69,Financeiro e Outros,Previdência e Seguros,Seguradoras,pssa,3
ptbl3,83.475.913/0001-91,Bens Industriais,Construção e Engenharia,Produtos para Construção,ptbl,3
ptca11,08.574.411/0001-00,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ptca,11
ptnt4,88.613.658/0001-10,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,ptnt,4
qual3,11.992.680/0001-93,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,qual,3
qusw3,35.791.391/0001-94,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,qusw,3
radl3,61.585.865/0001-51,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,radl,3
rail3,02.387.241/0001-60,Bens Industriais,Transporte,Transporte Ferroviário,rail,3
raiz4,33.453.598/0001-23,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,raiz,4
rani4,92.791.243/0001-03,Materiais Básicos,Embalagens,Embalagens,rani,4
rapt4,89.086.144/0001-16,Bens Industriais,Material de Transporte,Material Rodoviário,rapt,4
rcsl4,91.333.666/0001-17,Bens Industriais,Material de Transporte,Material Rodoviário,rcsl,4
rdni3,67.010.660/0001-24,Consumo Cíclico,Construção Civil,Incorporações,rdni,3
rdor3,06.047.087/0001-39,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,rdor,3
recv3,03.342.704/0001-30,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,recv,3
rede3,61.584.140/0001-49,Utilidade Pública,Energia Elétrica,Energia Elétrica,rede,3
rent3,16.670.085/0001-55,Consumo Cíclico,Diversos,Aluguel de carros,rent,3
rlog3,17.346.997/0001-39,Bens Industriais,Transporte,Transporte Ferroviário,rlog,3
rnew11,08.534.605/0001-74,Utilidade Pública,Energia Elétrica,Energia Elétrica,rnew,11
romi3,56.720.428/0001-63,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,romi,3
rpad3,17.167.396/0001-69,Financeiro e Outros,Intermediários Financeiros,Bancos,rpad,3
rpmg3,33.412.081/0001-96,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,rpmg,3
rrrp3,12.091.809/0001-55,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,rrrp,3
rsid3,61.065.751/0001-80,Consumo Cíclico,Construção Civil,Incorporações,rsid,3
rsul4,85.778.074/0001-06,Bens Industriais,Material de Transporte,Material Rodoviário,rsul,4
sanb11,90.400.888/0001-42,Financeiro e Outros,Intermediários Financeiros,Bancos,sanb,11
sapr11,76.484.013/0001-45,Utilidade Pública,Água e Saneamento,Água e Saneamento,sapr,11
