acao,cnpj,setor,subsetor,segmento,codigo,indice
brge11,17.193.806/0001-46,Financeiro e Outros,Previdência e Seguros,Seguradoras,brge,11
brit3,19.796.586/0001-70,Comunicações,Telecomunicações,Telecomunicações,brit,3
briv4,60.770.336/0001-65,Financeiro e Outros,Intermediários Financeiros,Bancos,briv,4
brkm3,42.150.391/0001-70,Materiais Básicos,Químicos,Petroquímicos,brkm,3
brml3,06.977.745/0001-91,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,brml,3
brpr3,06.977.751/0001-49,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,brpr,3
brqb3,36.542.025/0001-64,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,brqb,3
brsr3,92.702.067/0001-96,Financeiro e Outros,Intermediários Financeiros,Bancos,brsr,3
bsev3,15.527.906/0001-36,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,bsev,3
bsli4,00.000.208/0001-00,Financeiro e Outros,Intermediários Financeiros,Bancos,bsli,4
bttl4,42.331.462/0001-31,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,bttl,4
cali4,61.022.042/0001-18,Consumo Cíclico,Construção Civil,Incorporações,cali,4
camb4,61.088.894/0001-08,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,camb,4
caml3,64.904.295/0001-03,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,caml,3
cash3,14.110.585/0001-07,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,cash,3
casn4,82.508.433/0001-17,Utilidade Pública,Água e Saneamento,Água e Saneamento,casn,4
cata4,19.526.748/0001-50,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,cata,4
cbav3,61.409.892/0001-73,Materiais Básicos,Mineração,Minerais Metálicos,cbav,3
cbee3,33.050.071/0001-58,Utilidade Pública,Energia Elétrica,Energia Elétrica,cbee,3
ccro3,02.846.056/0001-97,Bens Industriais,Transporte,Exploração de Rodovias,ccro,3
ccxc3,07.950.674/0001-04,Financeiro e Outros,Outros,Outros,ccxc,3
ceab3,45.242.914/0001-05,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,ceab,3
cebr3,00.070.698/0001-11,Utilidade Pública,Energia Elétrica,Energia Elétrica,cebr,3
cedo4,17.245.234/0001-00,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,cedo,4
ceeb3,15.139.629/0001-94,Utilidade Pública,Energia Elétrica,Energia Elétrica,ceeb,3
ceed4,08.467.115/0001-00,Utilidade Pública,Energia Elétrica,Energia Elétrica,ceed,4
cegr3,33.938.119/0001-69,Utilidade Pública,Gás,Gás,cegr,3
cepe3,10.835.932/0001-08,Utilidade Pública,Energia Elétrica,Energia Elétrica,cepe,3
cesp3,60.933.603/0001-78,Utilidade Pública,Energia Elétrica,Energia Elétrica,cesp,3
cgas3,61.856.571/0001-17,Utilidade Pública,Gás,Gás,cgas,3
cgra4,92.012.467/0001-70,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,cgra,4
ciel3,01.027.058/0001-91,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos,ciel,3
clsa3,03.802.115/0001-98,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,clsa,3
clsc4,83.878.892/0001-55,Utilidade Pública,Energia Elétrica,Energia Elétrica,clsc,4
cmig4,17.155.730/0001-64,Utilidade Pública,Energia Elétrica,Energia Elétrica,cmig,4
cmin3,08.902.291/0001-15,Materiais Básicos,Mineração,Minerais Metálicos,cmin,3
cmsa4,00.272.185/0001-93,Financeiro e Outros,Outros,Outros,cmsa,4
cnsy3,07.437.016/0001-05,Consumo Cíclico,Mídia,Produção e Difusão de Filmes e Programas,cnsy,3
coce3,07.047.251/0001-70,Utilidade Pública,Energia Elétrica,Energia Elétrica,coce,3
cogn3,02.800.026/0001-40,Consumo Cíclico,Diversos,Serviços Educacionais,cogn,3
corr4,15.101.405/0001-93,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,corr,4
cpfe3,02.429.144/0001-93,Utilidade Pública,Energia Elétrica,Energia Elétrica,cpfe,3
cple11,76.483.817/0001-20,Utilidade Pública,Energia Elétrica,Energia Elétrica,cple,11
cpre3,08.439.659/0001-50,Utilidade Pública,Energia Elétrica,Energia Elétrica,cpre,3
crde3,07.820.907/0001-46,Consumo Cíclico,Construção Civil,Incorporações,crde,3
crem3,82.641.325/0001-18,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,crem,3
crfb3,75.315.333/0001-09,Consumo não Cíclico,Comércio e Distribuição,Alimentos,crfb,3
criv4,17.167.412/0001-13,Financeiro e Outros,Intermediários Financeiros,Soc. Crédito e Financiamento,criv,4
crpg3,15.115.504/0001-24,Materiais Básicos,Químicos,Químicos Diversos,crpg,3
csab4,15.144.017/0001-90,Financeiro e Outros,Previdência e Seguros,Seguradoras,csab,4
csan3,50.746.577/0001-15,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,csan,3
csed3,62.984.091/0001-02,Consumo Cíclico,Diversos,Serviços Educacionais,csed,3
csmg3,17.281.106/0001-03,Utilidade Pública,Água e Saneamento,Água e Saneamento,csmg,3
csna3,33.042.730/0001-04,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,csna,3
csrn3,08.324.196/0001-81,Utilidade Pública,Energia Elétrica,Energia Elétrica,csrn,3
csud3,01.896.779/0001-38,Bens Industriais,Serviços,Serviços Diversos,csud,3
ctca3,06.981.381/0001-13,Consumo não Cíclico,Agropecuária,Agricultura,ctca,3
ctka4,82.640.558/0001-04,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,ctka,4
ctnm4,22.677.520/0001-76,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,ctnm,4
ctsa4,21.255.567/0001-89,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,ctsa,4
cury3,08.797.760/0001-83,Consumo Cíclico,Construção Civil,Incorporações,cury,3
cvcb3,10.760.260/0001-19,Consumo Cíclico,Viagens e Lazer,Viagens e Turismo,cvcb,3
cxse3,22.543.331/0001-00,Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros,cxse,3
cyre3,73.178.600/0001-18,Consumo Cíclico,Construção Civil,Incorporações,cyre,3
dasa3,61.486.650/0001-83,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,dasa,3
desk3,08.170.849/0001-15,Comunicações,Telecomunicações,Telecomunicações,desk,3
dexp4,02.193.750/0001-52,Materiais Básicos,Químicos,Petroquímicos,dexp,4
dirr3,16.614.075/0001-00,Consumo Cíclico,Construção Civil,Incorporações,dirr,3
dmmo3,08.926.302/0001-05,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,dmmo,3
dmvf3,12.108.897/0001-50,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,dmvf,3
dohl4,84.683.408/0001-03,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,dohl,4
dotz3,10.221.279/0001-97,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,dotz,3
dtcy4,03.303.999/0001-36,Bens Industriais,Serviços,Serviços Diversos,dtcy,4
dxco3,97.837.181/0001-47,Materiais Básicos,Madeira e Papel,Madeira,dxco,3
ealt4,82.643.537/0001-34,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ealt,4
ecor3,04.149.454/0001-80,Bens Industriais,Transporte,Exploração de Rodovias,ecor,3
ecpr4,01.971.614/0001-83,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,ecpr,4
eeel4,92.715.812/0001-31,Utilidade Pública,Energia Elétrica,Energia Elétrica,eeel,4
egie3,02.474.103/0001-19,Utilidade Pública,Energia Elétrica,Energia Elétrica,egie,3
ektr4,02.328.280/0001-97,Utilidade Pública,Energia Elétrica,Energia Elétrica,ektr,4
elek4,13.788.120/0001-47,Materiais Básicos,Químicos,Petroquímicos,elek,4
elet3,00.001.180/0001-26,Utilidade Pública,Energia Elétrica,Energia Elétrica,elet,3
elmd3,09.347.516/0001-81,Comunicações,Mídia,Publicidade,elmd,3
elpl3,61.695.227/0001-93,Utilidade Pública,Energia Elétrica,Energia Elétrica,elpl,3
emae4,02.302.101/0001-42,Utilidade Pública,Energia Elétrica,Energia Elétrica,emae,4
embr3,07.689.002/0001-89,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,embr,3
enat3,11.669.021/0001-10,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,enat,3
enbr3,03.983.431/0001-03,Utilidade Pública,Energia Elétrica,Energia Elétrica,enbr,3
enev3,04.423.567/0001-21,Utilidade Pública,Energia Elétrica,Energia Elétrica,enev,3
engi11,00.864.214/0001-06,Utilidade Pública,Energia Elétrica,Energia Elétrica,engi,11
enju3,16.922.038/0001-51,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,enju,3
enmt4,03.467.321/0001-99,Utilidade Pública,Energia Elétrica,Energia Elétrica,enmt,4
epar3,42.331.462/0001-31,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,epar,3
eqpa3,04.895.728/0001-80,Utilidade Pública,Energia Elétrica,Energia Elétrica,eqpa,3
eqtl3,03.220.438/0001-73,Utilidade Pública,Energia Elétrica,Energia Elétrica,eqtl,3
espa3,26.659.061/0001-59,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,espa,3
estr4,61.082.004/0001-50,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,estr,4
eter3,61.092.037/0001-81,Bens Industriais,Construção e Engenharia,Produtos para Construção,eter,3
euca4,56.643.018/0001-66,Materiais Básicos,Madeira e Papel,Madeira,euca,4
even3,43.470.988/0001-65,Consumo Cíclico,Construção Civil,Incorporações,even,3
eztc3,08.312.229/0001-73,Consumo Cíclico,Construção Civil,Incorporações,eztc,3
fbmc4,61.410.395/0001-95,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,fbmc,4
fesa4,15.141.799/0001-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,fesa,4
fher3,22.266.175/0001-88,Materiais Básicos,Químicos,Fertilizantes e Defensivos,fher,3
fige4,01.548.981/0001-79,Financeiro e Outros,Outros,Outros,fige,4
fiqe3,02.255.187/0001-08,Comunicações,Telecomunicações,Telecomunicações,fiqe,3
flex3,10.851.805/0001-00,Bens Industriais,Serviços,Serviços Diversos,flex,3
flry3,60.840.055/0001-31,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,flry,3
fncn3,91.669.747/0001-92,Financeiro e Outros,Intermediários Financeiros,Soc. Crédito e Financiamento,fncn,3
fras3,88.610.126/0001-29,Bens Industriais,Material de Transporte,Material Rodoviário,fras,3
frio3,04.821.041/0001-08,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,frio,3
frta3,86.550.951/0001-50,Consumo não Cíclico,Agropecuária,Agricultura,frta,3
gepa4,02.998.301/0001-81,Utilidade Pública,Energia Elétrica,Energia Elétrica,gepa,4
gett11,10.440.482/0001-54,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos,gett,11
gfsa3,01.545.826/0001-07,Consumo Cíclico,Construção Civil,Incorporações,gfsa,3
ggbr4,33.611.500/0001-19,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,ggbr,4
ggps3,09.229.201/0001-30,Bens Industriais,Transporte,Logística,ggps,3
gmat3,24.990.777/0001-09,Consumo não Cíclico,Comércio e Distribuição,Alimentos,gmat,3
gndi3,19.853.511/0001-84,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,gndi,3
goau4,92.690.783/0001-09,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,goau,4
goll4,06.164.253/0001-87,Bens Industriais,Transporte,Transporte Aéreo,goll,4
gpar3,08.560.444/0001-93,Utilidade Pública,Energia Elétrica,Energia Elétrica,gpar,3
grao3,18.483.666/0001-03,Consumo não Cíclico,Agropecuária,Agricultura,grao,3
grnd3,89.850.341/0001-60,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,grnd,3
gshp3,08.764.621/0001-53,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,gshp,3
guar3,08.402.943/0001-52,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,guar,3
haga4,30.540.991/0001-66,Bens Industriais,Construção e Engenharia,Produtos para Construção,haga,4
hapv3,05.197.443/0001-38,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,hapv,3
hbor3,49.263.189/0001-02,Consumo Cíclico,Construção Civil,Incorporações,hbor,3
hbre3,14.785.152/0001-51,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,hbre,3
hbsa3,12.648.327/0001-53,Bens Industriais,Transporte,Transporte Hidroviário,hbsa,3
heta4,92.749.225/0001-63,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,heta,4
hgtx3,78.876.950/0001-71,Consumo Cíclico,Tecidos. Vestuário e Calçados,Vestuário,hgtx,3
hoot4,33.200.049/0001-47,Consumo Cíclico,Hoteis e Restaurantes,Hotelaria,hoot,4
hype3,02.932.074/0001-91,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,hype,3
idvl4,61.024.352/0001-71,Financeiro e Outros,Intermediários Financeiros,Bancos,idvl,4
ifcm3,38.456.921/0001-36,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,ifcm,3
igbr3,43.185.362/0001-07,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,igbr,3
igsn3,08.159.965/0001-33,Utilidade Pública,Água e Saneamento,Água e Saneamento,igsn,3
igta3,51.218.147/0001-93,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,igta,3
igti11,60.543.816/0001-93,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,igti,11
inep4,76.627.504/0001-06,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,inep,4
